id_produit,nom_produit,categorie,marque,prix,prix_achat,poids_kg,stock_initial
PRD0316,Livre de cuisine Gallimard,Livres & Culture,Gallimard,208.41,84.31,7.35,443
PRD0317,Livre de cuisine Folio,Livres & Culture,Folio,191.78,104.1,6.64,375
PRD0318,Livre de cuisine Actes Sud,Livres & Culture,Actes Sud,269.14,173.47,0.53,28
PRD0319,Livre de cuisine Le Robert,Livres & Culture,Le Robert,212.99,138.05,14.66,70
PRD0320,Livre de cuisine Larousse,Livres & Culture,Larousse,75.18,38.34,1.02,35
PRD0321,BD Larousse,Livres & Culture,Larousse,276.36,150.93,10.53,54
PRD0322,BD Nathan,Livres & Culture,Nathan,120.14,49.6,6.21,198
PRD0323,BD Éditions du Seuil,Livres & Culture,Éditions du Seuil,197.27,119.14,0.59,420
PRD0324,BD Gallimard,Livres & Culture,Gallimard,248.5,147.56,9.91,113
PRD0325,BD Dalloz,Livres & Culture,Dalloz,257.91,146.97,11.2,337
PRD0326,Atlas Dalloz,Livres & Culture,Dalloz,154.68,87.06,10.37,229
PRD0327,Atlas Actes Sud,Livres & Culture,Actes Sud,211.32,88.86,5.19,55
PRD0328,Atlas Flammarion,Livres & Culture,Flammarion,75.84,38.61,2.1,231
PRD0329,Atlas Nathan,Livres & Culture,Nathan,298.37,145.22,2.2,210
PRD0330,Atlas Folio,Livres & Culture,Folio,56.28,33.66,12.98,276
PRD0331,Cahier d'exercices Hachette,Livres & Culture,Hachette,85.55,37.47,7.94,359
PRD0332,Cahier d'exercices Larousse,Livres & Culture,Larousse,115.02,54.26,8.83,286
PRD0333,Cahier d'exercices Actes Sud,Livres & Culture,Actes Sud,128.39,55.28,6.39,290
PRD0334,Cahier d'exercices Éditions du Seuil,Livres & Culture,Éditions du Seuil,58.15,27.24,11.66,31
PRD0335,Cahier d'exercices Nathan,Livres & Culture,Nathan,205.75,96.01,5.7,484
PRD0336,Agenda Folio,Livres & Culture,Folio,232.74,130.86,13.99,250
PRD0337,Agenda Nathan,Livres & Culture,Nathan,287.2,124.72,1.49,72
PRD0338,Agenda Hachette,Livres & Culture,Hachette,108.32,46.19,1.73,112
PRD0339,Agenda Actes Sud,Livres & Culture,Actes Sud,197.62,127.37,5.26,277
PRD0340,Agenda Dalloz,Livres & Culture,Dalloz,282.39,148.49,1.11,120
PRD0341,Livre d'art Actes Sud,Livres & Culture,Actes Sud,93.71,55.61,14.86,174
PRD0342,Livre d'art Larousse,Livres & Culture,Larousse,191.13,96.71,7.05,55
PRD0343,Livre d'art Éditions du Seuil,Livres & Culture,Éditions du Seuil,226.1,99.49,5.13,478
PRD0344,Livre d'art Folio,Livres & Culture,Folio,280.68,119.88,8.88,140
PRD0345,Livre d'art Dalloz,Livres & Culture,Dalloz,180.47,87.64,2.1,493
PRD0346,Guide voyage Éditions du Seuil,Livres & Culture,Éditions du Seuil,282.1,172.68,1.28,205
PRD0347,Guide voyage Le Robert,Livres & Culture,Le Robert,265.83,126.99,12.28,317
PRD0348,Guide voyage Gallimard,Livres & Culture,Gallimard,218.8,121.98,13.08,24
PRD0349,Guide voyage Hachette,Livres & Culture,Hachette,105.97,58.92,9.43,312
PRD0350,Guide voyage Larousse,Livres & Culture,Larousse,238.74,135.03,14.12,136
PRD0351,Puzzle Mattel,Jouets & Enfants,Mattel,75.72,45.92,8.78,466
PRD0352,Puzzle Hasbro,Jouets & Enfants,Hasbro,644.18,297.05,10.66,483
PRD0353,Puzzle LEGO,Jouets & Enfants,LEGO,434.77,211.61,9.7,495
PRD0354,Puzzle Fisher-Price,Jouets & Enfants,Fisher-Price,146.57,80.52,11.4,127
PRD0355,Puzzle Ravensburger,Jouets & Enfants,Ravensburger,450.81,258.79,13.82,158
PRD0356,Voiture télécommandée Fisher-Price,Jouets & Enfants,Fisher-Price,477.93,200.75,14.45,290
PRD0357,Voiture télécommandée Mattel,Jouets & Enfants,Mattel,387.37,235.63,2.76,131
PRD0358,Voiture télécommandée LEGO,Jouets & Enfants,LEGO,52.39,21.04,2.59,446
PRD0359,Voiture télécommandée Janod,Jouets & Enfants,Janod,613.74,327.3,13.18,51
PRD0360,Voiture télécommandée Hasbro,Jouets & Enfants,Hasbro,710.62,358.55,12.55,401
PRD0361,Poupée Chicco,Jouets & Enfants,Chicco,159.83,74.79,1.29,213
PRD0362,Poupée Fisher-Price,Jouets & Enfants,Fisher-Price,178.61,94.21,0.4,417
PRD0363,Poupée Hasbro,Jouets & Enfants,Hasbro,360.6,215.91,14.06,257
PRD0364,Poupée Clementoni,Jouets & Enfants,Clementoni,230.43,102.07,7.83,437
PRD0365,Poupée Playmobil,Jouets & Enfants,Playmobil,479.67,297.76,9.43,348
PRD0366,Construction LEGO LEGO,Jouets & Enfants,LEGO,426.69,259.26,9.35,29
PRD0367,Construction LEGO VTech,Jouets & Enfants,VTech,372.14,233.2,5.32,48
PRD0368,Construction LEGO Chicco,Jouets & Enfants,Chicco,546.93,276.98,13.27,139
PRD0369,Construction LEGO Mattel,Jouets & Enfants,Mattel,258.67,161.44,0.44,428
PRD0370,Construction LEGO Janod,Jouets & Enfants,Janod,161.54,92.19,7.45,230
PRD0371,Peluche Mattel,Jouets & Enfants,Mattel,382.74,175.49,9.2,309
PRD0372,Peluche VTech,Jouets & Enfants,VTech,745.93,346.69,3.23,67
PRD0373,Peluche Hasbro,Jouets & Enfants,Hasbro,572.95,319.39,6.47,448
PRD0374,Peluche Clementoni,Jouets & Enfants,Clementoni,104.18,52.28,7.81,472
PRD0375,Peluche Fisher-Price,Jouets & Enfants,Fisher-Price,258.26,149.44,2.67,464
PRD0376,Jeu de société Mattel,Jouets & Enfants,Mattel,473.94,218.19,14.03,470
PRD0377,Jeu de société Chicco,Jouets & Enfants,Chicco,270.3,171.99,9.13,100
PRD0378,Jeu de société Ravensburger,Jouets & Enfants,Ravensburger,727.65,339.54,11.98,302
PRD0379,Jeu de société Playmobil,Jouets & Enfants,Playmobil,517.7,258.98,1.62,440
PRD0380,Jeu de société Janod,Jouets & Enfants,Janod,357.33,154.07,8.08,257
PRD0381,Tricycle LEGO,Jouets & Enfants,LEGO,684.06,300.45,13.96,428
PRD0382,Tricycle Janod,Jouets & Enfants,Janod,405.4,207.07,13.72,243
PRD0383,Tricycle Mattel,Jouets & Enfants,Mattel,350.24,171.53,13.5,262
PRD0384,Tricycle Clementoni,Jouets & Enfants,Clementoni,717.47,396.12,14.78,189
PRD0385,Tricycle Chicco,Jouets & Enfants,Chicco,410.9,222.61,2.94,55
PRD0386,Tableau magnétique Fisher-Price,Jouets & Enfants,Fisher-Price,102.86,51.04,7.5,367
PRD0387,Tableau magnétique Chicco,Jouets & Enfants,Chicco,730.97,412.84,9.67,378
PRD0388,Tableau magnétique Clementoni,Jouets & Enfants,Clementoni,539.21,246.7,7.21,428
PRD0389,Tableau magnétique VTech,Jouets & Enfants,VTech,412.79,200.67,8.88,385
PRD0390,Tableau magnétique Hasbro,Jouets & Enfants,Hasbro,70.31,44.69,5.23,375
PRD0391,Déguisement Fisher-Price,Jouets & Enfants,Fisher-Price,572.39,239.59,13.95,35
PRD0392,Déguisement Mattel,Jouets & Enfants,Mattel,503.3,323.54,1.71,339
PRD0393,Déguisement Hasbro,Jouets & Enfants,Hasbro,695.11,369.63,14.76,437
PRD0394,Déguisement Clementoni,Jouets & Enfants,Clementoni,254.02,160.46,6.54,131
PRD0395,Déguisement LEGO,Jouets & Enfants,LEGO,562.07,238.45,2.93,187
PRD0396,Dînette Chicco,Jouets & Enfants,Chicco,113.14,70.53,1.47,49
PRD0397,Dînette LEGO,Jouets & Enfants,LEGO,751.95,348.48,5.19,364
PRD0398,Dînette VTech,Jouets & Enfants,VTech,484.27,255.62,9.16,331
PRD0399,Dînette Fisher-Price,Jouets & Enfants,Fisher-Price,733.09,362.26,7.87,174
PRD0400,Dînette Ravensburger,Jouets & Enfants,Ravensburger,290.67,139.94,4.21,220
